timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744696187250,1845,HTTP Request,200,OK,Thread Group 1-14,text,true,,52598,129,99,99,https://www.automationexercise.com/,1633,0,206
1744696187314,1786,HTTP Request,200,OK,Thread Group 1-17,text,true,,52598,129,99,99,https://www.automationexercise.com/,1751,0,272
1744696187371,1769,HTTP Request,200,OK,Thread Group 1-20,text,true,,52598,129,99,99,https://www.automationexercise.com/,1559,0,187
1744696187423,1758,HTTP Request,200,OK,Thread Group 1-22,text,true,,52598,129,99,99,https://www.automationexercise.com/,1722,0,193
1744696187353,1836,HTTP Request,200,OK,Thread Group 1-19,text,true,,52598,129,99,99,https://www.automationexercise.com/,1792,0,229
1744696187916,1297,HTTP Request,200,OK,Thread Group 1-47,text,true,,52598,129,99,99,https://www.automationexercise.com/,1283,0,156
1744696187933,1353,HTTP Request,200,OK,Thread Group 1-48,text,true,,52598,129,99,99,https://www.automationexercise.com/,1303,0,157
1744696187840,1446,HTTP Request,200,OK,Thread Group 1-43,text,true,,52598,129,99,99,https://www.automationexercise.com/,1398,0,250
1744696187890,1428,HTTP Request,200,OK,Thread Group 1-46,text,true,,52598,129,99,99,https://www.automationexercise.com/,1382,0,190
1744696187471,1857,HTTP Request,200,OK,Thread Group 1-24,text,true,,52598,129,99,99,https://www.automationexercise.com/,1818,0,223
1744696187488,1870,HTTP Request,200,OK,Thread Group 1-25,text,true,,52598,129,99,99,https://www.automationexercise.com/,1850,0,218
1744696187512,1958,HTTP Request,200,OK,Thread Group 1-27,text,true,,52598,129,99,99,https://www.automationexercise.com/,1931,0,203
1744696187531,1982,HTTP Request,200,OK,Thread Group 1-28,text,true,,52598,129,99,99,https://www.automationexercise.com/,1930,0,190
1744696187821,1693,HTTP Request,200,OK,Thread Group 1-42,text,true,,52598,129,99,99,https://www.automationexercise.com/,1281,0,199
1744696187490,2028,HTTP Request,200,OK,Thread Group 1-26,text,true,,52598,129,99,99,https://www.automationexercise.com/,1980,0,222
1744696188186,1339,HTTP Request,200,OK,Thread Group 1-7,text,true,,52598,129,99,99,https://www.automationexercise.com/,1238,0,0
1744696187573,2002,HTTP Request,200,OK,Thread Group 1-30,text,true,,52598,129,98,98,https://www.automationexercise.com/,1973,0,187
1744696188009,1589,HTTP Request,200,OK,Thread Group 1-52,text,true,,52605,129,98,98,https://www.automationexercise.com/,1561,0,199
1744696187972,1682,HTTP Request,200,OK,Thread Group 1-50,text,true,,52598,129,98,98,https://www.automationexercise.com/,1659,0,250
1744696187553,2155,HTTP Request,200,OK,Thread Group 1-29,text,true,,52598,129,98,98,https://www.automationexercise.com/,2104,0,258
1744696187670,2038,HTTP Request,200,OK,Thread Group 1-35,text,true,,52605,129,98,98,https://www.automationexercise.com/,1986,0,180
1744696187611,2120,HTTP Request,200,OK,Thread Group 1-32,text,true,,52598,129,98,98,https://www.automationexercise.com/,2098,0,237
1744696187657,2122,HTTP Request,200,OK,Thread Group 1-34,text,true,,52598,129,98,98,https://www.automationexercise.com/,2093,0,226
1744696188274,1548,HTTP Request,200,OK,Thread Group 1-10,text,true,,52598,129,98,98,https://www.automationexercise.com/,1465,0,0
1744696187695,2169,HTTP Request,200,OK,Thread Group 1-36,text,true,,52598,129,97,97,https://www.automationexercise.com/,2145,0,236
1744696188034,1925,HTTP Request,200,OK,Thread Group 1-53,text,true,,52598,129,97,97,https://www.automationexercise.com/,1892,0,240
1744696188053,1963,HTTP Request,200,OK,Thread Group 1-54,text,true,,52598,129,97,97,https://www.automationexercise.com/,1909,0,230
1744696188197,1823,HTTP Request,200,OK,Thread Group 1-5,text,true,,52598,129,97,97,https://www.automationexercise.com/,1338,0,0
1744696188294,1726,HTTP Request,200,OK,Thread Group 1-9,text,true,,52598,129,97,97,https://www.automationexercise.com/,1566,0,0
1744696188386,1644,HTTP Request,200,OK,Thread Group 1-1,text,true,,52598,129,95,95,https://www.automationexercise.com/,1558,0,0
1744696187764,2309,HTTP Request,200,OK,Thread Group 1-39,text,true,,52598,129,94,94,https://www.automationexercise.com/,2268,0,199
1744696187737,2346,HTTP Request,200,OK,Thread Group 1-38,text,true,,52598,129,94,94,https://www.automationexercise.com/,2308,0,229
